ADM2_EN,county,Sub_County,Ward,Latitude,Longitude,Report_Dat,Disease_Co,Species_Af,Number_at_,Number_Sick,Number_Dea,Number_Sla,Number_Des,Number_Hum,Number_Vac,Incidence
Kapenguria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapseret,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Karachuonyo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kasarani,Nairobi,Kasarani,Ruai,-1.2723854,37.0019499,4/1/2024,Rabies,Goats,3,1,0,0,1,0,0,0.25
Kasarani,Nairobi,Embakasi East,Mihango,-1.274191667,36.99077333,12/5/2024,Rabies,Dogs,1,1,0,0,1,0,0,0.5
Kasarani,Nairobi,Kasarani,Ruai,-1.2379698,36.9902019,4/15/2024,Rabies,Dogs,6,1,0,0,0,0,0,0.142857143
Kasarani,Nairobi,Kasarani,Ruai,-1.2739787,36.9935586,2/19/2024,Rabies,Dogs,2,1,2,0,0,0,0,0.333333333
Kasarani,Nairobi,Kasarani,Ruai,-1.2735973,36.9932693,2/19/2024,Rabies,Dogs,4,1,1,0,0,0,4,0.2
Kasipul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kathiani,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keiyo North,Elgeyo/Marakwet,Keiyo North,Kapchemutwa,0.6709438,35.5071158,2/4/2024,Rabies,Cattle,5,1,0,0,0,NA,5,0.166666667
Keiyo North,Elgeyo/Marakwet,Keiyo North,Tambach,0.669457,35.501697,3/20/2024,Rabies,Cattle,4,1,0,0,0,0,0,0.2
Keiyo North,Elgeyo/Marakwet,Keiyo North,Kamariny,0.6379691,35.4821295,2/24/2024,Rabies,Cattle,3,0,1,0,0,0,0,0
Keiyo South,Elgeyo/Marakwet,Keiyo South,Chepkorio,0.371752,35.5423573,2/9/2024,Rabies,Cattle,23,1,0,0,0,0,23,0.041666667
Keiyo South,Elgeyo/Marakwet,Keiyo South,Kabiemit,0.3451509,35.5375681,2/20/2024,Rabies,Cattle,18,1,1,0,0,0,18,0.052631579
Kesses,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Khwisero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kiambaa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
